Outfit_Description,Negative_Prompt
"Generate an outfit description based on current fashion trends: striped fabric and graphic patterns. This lady wears a ring. There is an accessory on her wrist.Her tank top has sleeves cut off, chiffon fabric and floral patterns. This person wears a three-point pants. The pants are with denim fabric and pure lor patterns. This lady wears a ring. The lady has neckwear. There is an accessory on her wrist.",Generate a poor outfit description based on current fashion trends: The shirt is with tton fabric and its neckline is round. There is an accessory on her wrist.The tank top the person wears has sleeves cut off and its fabric is tton. The pattern of it is solid lor. There is an accessory on her wrist.This female wears a tank tank shirt with solid lor patterns. The tank shirt is with tton fabric. It has a round neckline.
Generate an outfit description based on current fashion trends: tank top with graphic patterns and three-point shorts. The tank top is with tton fabric. The shorts are with tton fabric and graphic patterns. The female wears a hat. This lady wears a ring.The person is wearing a long-sleeve sweater with graphic patterns and a three-point shorts. The sweater is with tton fabric. The neckline of the sweater is round.,Generate a poor outfit description based on current fashion trends: it has a lapel neckline.The sweater the gentleman wears has long sleeves and its fabric is tton. The pattern of it is plaid. It has a lapel neckline.The shirt this man wears has long sleeves and it is with tton fabric and plaid patterns.The guy wears a long-sleeve sweater with plaid patterns and long pants.
Generate an outfit description based on current fashion trends: The tank top is with tton fabric and its neckline is suspenders. The shorts this female wears is of three-point length. The shorts are with denim fabric and pure lor patterns. This female is wearing a ring on her finger. The person has neckwear. There is an accessory on her wrist.The lady is wearing a tank tank shirt with graphic patterns. The tank shirt is with tton fabric.,"Generate a poor outfit description based on current fashion trends: The sweater is with tton fabric. It has a crew neckline. There is a ring on her finger.The sweater this lady wears has long sleeves, its fabric is tton, and it has solid lor patterns. The lady wears a ring.The upper clothing has long sleeves, tton fabric and pure lor patterns. The lady wears a ring."
Generate an outfit description based on current fashion trends: with leather fabric and solid lor patterns. This person is wearing a ring on her finger. There is an accessory on her wrist.This person is wearing a tank tank shirt with graphic patterns. The tank shirt is with tton fabric. It has a suspenders neckline. The pants this person wears is of three-point length. The pants are with tton fabric and solid lor patterns. There is an accessory on her wrist.,"Generate a poor outfit description based on current fashion trends: The sweater is with tton fabric and its neckline is round. The trousers the gentleman wears is of long length. The trousers are with denim fabric and solid lor patterns. There is an accessory in his his neck. The gentleman wears a hat. There is clothing on his waist. This gentleman wears socks in shoes.His sweater has long sleeves, tton fabric and pure lor patterns. It has a round neckline."
Generate an outfit description based on current fashion trends: with tton fabric and pure lor patterns. The person has neckwear.This person is wearing a tank tank top with solid lor patterns. The tank top is with tton fabric. It has a round neckline. This person wears a long trousers. The trousers are with denim fabric and solid lor patterns. The outer clothing is with tton fabric and solid lor patterns. There is an accessory in his her neck.,"Generate a poor outfit description based on current fashion trends: the shirt is with tton fabric and its neckline is v-shape. The shorts this female wears is of three-point length. The shorts are with denim fabric and pure lor patterns. This female has neckwear. This lady is wearing a ring on her finger.The shirt the female wears has short sleeves, its fabric is tton, and it has solid lor patterns. The shirt has a round neckline."
"Generate an outfit description based on current fashion trends: tank top with pure lor patterns and short pants. The tank top is with tton fabric. The pants are with denim fabric and pure lor patterns. There is a ring on her finger.Her tank top has sleeves cut off, tton fabric and pure lor patterns. The pants the person wears is of short length. The pants are with denim fabric and solid lor patterns. This woman is wearing a ring on her finger.","Generate a poor outfit description based on current fashion trends: it has a lapel neckline. This lady wears a long trousers, with tton fabric and graphic patterns. This lady is wearing a ring on her finger. There is an accessory in his her neck.This person wears a short-sleeve T-shirt with stripe patterns and a long pants. The T-shirt is with tton fabric and its neckline is crew."
"Generate an outfit description based on current fashion trends: short pants, with denim fabric and solid lor patterns. The person has neckwear.This female wears a long-sleeve shirt with striped patterns. The shirt is with tton fabric. It has a round neckline. There is an accessory in his her neck. The person wears a ring.The sweater this female wears has long sleeves, its fabric is tton, and it has striped patterns.","Generate a poor outfit description based on current fashion trends: sweater with chiffon fabric and graphic patterns. This female has neckwear.The tank shirt the lady wears has no sleeves and its fabric is chiffon. The pattern of it is graphic. There is an accessory in his her neck.The upper clothing has no sleeves, chiffon fabric and graphic patterns. It has a suspenders neckline. The lower clothing is of long length."
"Generate an outfit description based on current fashion trends: a long trousers, with tton fabric and pure lor patterns.The person wears a short-sleeve shirt with stripe patterns. The shirt is with tton fabric and it has a v-shape neckline.Her shirt has short sleeves, tton fabric and stripe patterns.The T-shirt this female wears has short sleeves and its fabric is tton. The pattern of it is striped.","Generate a poor outfit description based on current fashion trends: long trousers, with tton fabric and solid lor patterns. The outer clothing is with tton fabric and pure lor patterns. There is an accessory on his wrist.The guy wears a short-sleeve T-shirt with solid lor patterns. The T-shirt is with tton fabric and its neckline is crew. There is a ring on his finger."
Generate an outfit description based on current fashion trends: The shirt is with tton fabric and its neckline is round. The pants the lady wears is of three-point length. The pants are with denim fabric and pure lor patterns. There is an accessory on her wrist. The lady is wearing a ring on her finger.The female is wearing a short-sleeve T-shirt with solid lor patterns and a three-point shorts.,"Generate a poor outfit description based on current fashion trends: medium pants, with denim fabric and pure lor patterns.The person is wearing a tank tank top with solid lor patterns. The tank top is with tton fabric. It has a round neckline. The pants the person wears is of three-point length. The pants are with tton fabric and solid lor patterns. There is an accessory in his her neck. The female wears a ring."
Generate an outfit description based on current fashion trends: with tton fabric and pure lor patterns. There is a ring on her finger.The person wears a long-sleeve shirt with pure lor patterns and three-quarter pants. The shirt is with chiffon fabric and it has a v-shape neckline. The pants are with denim fabric and pure lor patterns. There is a ring on her finger.,"Generate a poor outfit description based on current fashion trends: sweater with other fabric and other patterns. This guy is wearing a hat. This guy has neckwear. This person wears a ring.The sweater the person wears has long sleeves and its fabric is tton. The pattern of it is pure lor. It has a crew neckline. The person wears a long trousers, with tton fabric and pure lor patterns. There is an accessory in his his neck."
Generate an outfit description based on current fashion trends: with tton fabric and solid lor patterns. The person is wearing a ring on her finger.The person is wearing a sleeveless tank top with graphic patterns. The tank top is with tton fabric. It has a v-shape neckline. The trousers the person wears is of long length. The trousers are with denim fabric and solid lor patterns. There is a ring on her finger.,"Generate a poor outfit description based on current fashion trends: a long pants, with tton fabric and pure lor patterns.The sweater this person wears has long sleeves and it is with tton fabric and solid lor patterns. This person wears a three-point pants, with tton fabric and pure lor patterns.Her sweater has long sleeves, tton fabric and solid lor patterns. It has a round neckline. The pants the lady wears is of three-point length."
"Generate an outfit description based on current fashion trends: short shorts, with tton fabric and solid lor patterns. This lady wears a ring.The shirt the female wears has long sleeves and its fabric is chiffon. The pattern of it is solid lor. It has a round neckline. The female wears a three-point shorts, with chiffon fabric and solid lor patterns. The person is wearing a ring on her finger.","Generate a poor outfit description based on current fashion trends: trousers are with denim fabric and solid lor patterns.The sweater this lady wears has long sleeves and it is with tton fabric and pure lor patterns. The neckline of the sweater is round.The shirt the lady wears has long sleeves and it is with tton fabric and pure lor patterns.The shirt this lady wears has long sleeves, its fabric is tton, and it has solid lor patterns."
"Generate an outfit description based on current fashion trends: a three-point shorts, with tton fabric and plaid patterns.Her tank top has sleeves cut off, tton fabric and pure lor patterns. It has a round neckline. There is an accessory on her wrist. The female wears a ring.The person wears a sleeveless tank top with pure lor patterns. The tank top is with tton fabric. The person wears a three-point pants.",Generate a poor outfit description based on current fashion trends: with tton fabric and solid lor patterns. The outer clothing this woman wears is with knitting fabric and solid lor patterns.This person wears a long-sleeve sweater with pure lor patterns and long trousers. The sweater is with tton fabric and it has a crew neckline. The trousers are with tton fabric and solid lor patterns. The outer clothing this lady wears is with knitting fabric and pure lor patterns.
"Generate an outfit description based on current fashion trends: medium pants, with tton fabric and graphic patterns. The outer clothing the lady wears is with denim fabric and solid lor patterns. There is an accessory in his her neck. There is a ring on her finger.The shirt this person wears has medium sleeves and its fabric is tton. The pattern of it is solid lor. This person wears a three-quarter trousers, with tton fabric and graphic patterns.","Generate a poor outfit description based on current fashion trends: it has a lapel neckline. The pants the person wears is of short length. The pants are with chiffon fabric and graphic patterns.The sweater this lady wears has long sleeves, its fabric is tton, and it has pure lor patterns. The sweater has a lapel neckline. This lady wears a three-point shorts, with tton fabric and solid lor patterns."
"Generate an outfit description based on current fashion trends: sleeveless tank shirt with pure lor patterns. The tank shirt is with tton fabric. It has a suspenders neckline. There is an accessory on her wrist. The person wears a ring.The tank shirt this lady wears has no sleeves, its fabric is tton, and it has pure lor patterns. The tank shirt has a suspenders neckline. There is an accessory on her wrist.",Generate a poor outfit description based on current fashion trends: with tton fabric and pure lor patterns. The outer clothing this woman wears is with tton fabric and solid lor patterns. This female is wearing leggings. This lady is wearing a ring on her finger.The person is wearing a long-sleeve sweater with pure lor patterns and a three-point pants. The sweater is with tton fabric. The pants are with tton fabric and solid lor patterns.
Generate an outfit description based on current fashion trends: with tton fabric and solid lor patterns. This woman wears a ring.The person wears a long-sleeve sweater with solid lor patterns and a three-point shorts. The sweater is with tton fabric and its neckline is crew. The shorts are with tton fabric and pure lor patterns. The outer clothing is with tton fabric and pure lor patterns. This female wears a ring.,"Generate a poor outfit description based on current fashion trends: It has a crew neckline. The female wears a three-point pants, with tton fabric and graphic patterns. The outer clothing is with tton fabric and graphic patterns. The lady is wearing a ring on her finger.Her sweater has long sleeves, tton fabric and pure lor patterns. The lady wears a three-point shorts. The shorts are with tton fabric and graphic patterns."
"Generate an outfit description based on current fashion trends: with tton fabric and stripe patterns. The female wears a hat.This female is wearing a long-sleeve sweater with floral patterns. The sweater is with chiffon fabric. It has a round neckline. The female has a hat in her head.Her sweater has long sleeves, chiffon fabric and floral patterns. The female is wearing a hat.The upper clothing has long sleeves, chiffon fabric and floral patterns.","Generate a poor outfit description based on current fashion trends: It has a lapel neckline. This guy wears a long trousers, with tton fabric and solid lor patterns. The gentleman wears a pair of sunglasses.The gentleman is wearing a short-sleeve T-shirt with solid lor patterns and a long trousers. The T-shirt is with tton fabric. The neckline of the T-shirt is lapel."
"Generate an outfit description based on current fashion trends: tank shirt with solid lor patterns, three-point shorts, with tton fabric and solid lor patterns. This female wears a ring. The person has neckwear.This lady wears a tank tank top with pure lor patterns. The tank top is with tton fabric. The pants this lady wears is of three-point length. The pants are with tton fabric and pure lor patterns.","Generate a poor outfit description based on current fashion trends: The shirt is with tton fabric. It has a crew neckline. The female wears a long trousers. The trousers are with denim fabric and solid lor patterns. This lady also wears an outer clothing, with tton fabric and plaid patterns. This lady wears a ring.Her shirt has short sleeves, tton fabric and solid lor patterns. It has a round neckline."
"Generate an outfit description based on current fashion trends: long pants, with denim fabric and solid lor patterns.The lady is wearing a long-sleeve shirt with solid lor patterns and a three-point pants. The shirt is with chiffon fabric. The neckline of the shirt is round. The pants are with denim fabric and solid lor patterns.The sweater this female wears has long sleeves and its fabric is tton. The pattern of it is solid lor.","Generate a poor outfit description based on current fashion trends: long pants, with tton fabric and solid lor patterns. This female wears a ring. There is an accessory in his her neck.The shirt this female wears has long sleeves, its fabric is tton, and it has solid lor patterns. This female wears a long trousers, with tton fabric and solid lor patterns. There is an accessory in his her neck. There is a ring on her finger."
Generate an outfit description based on current fashion trends: with tton fabric and graphic patterns. There is an accessory on her wrist.The lady is wearing a long-sleeve sweater with graphic patterns. The sweater is with tton fabric. It has a v-shape neckline. The pants the lady wears is of three-point length. The pants are with denim fabric and solid lor patterns. The outer clothing the female wears is with tton fabric and graphic patterns.,"Generate a poor outfit description based on current fashion trends: The tank shirt is with tton fabric. This female has neckwear. There is a ring on her finger.The tank shirt the lady wears has sleeves cut off, its fabric is tton, and it has graphic patterns. The lady wears a three-point shorts, with tton fabric and solid lor patterns. There is an accessory in his her neck."
"Generate an outfit description based on current fashion trends: short shorts, with tton fabric and lattice patterns. This lady is wearing a ring on her finger.Her T-shirt has short sleeves, tton fabric and lattice patterns. It has a crew neckline. This lady wears a long pants. The pants are with tton fabric and plaid patterns. There is an accessory in his her neck. There is a ring on her finger.",Generate a poor outfit description based on current fashion trends: it has a round neckline. The trousers the female wears is of long length. The trousers are with denim fabric and pure lor patterns. This woman wears a ring.The female wears a long-sleeve sweater with solid lor patterns. The sweater is with tton fabric. It has a crew neckline. The female wears a long pants. The pants are with denim fabric and solid lor patterns.
"Generate an outfit description based on current fashion trends: with knitting fabric and solid lor patterns.This female wears a long-sleeve shirt with solid lor patterns. The shirt is with knitting fabric. It has a round neckline. The pants this female wears is of long length. The pants are with tton fabric and lattice patterns. This female also wears an outer clothing, with knitting fabric and solid lor patterns.","Generate a poor outfit description based on current fashion trends: it has a round neckline. There is a ring on her finger.Her sweater has long sleeves, tton fabric and solid lor patterns. The neckline of it is crew. The trousers the female wears is of long length. The trousers are with tton fabric and solid lor patterns. This female is wearing a ring on her finger."
"Generate an outfit description based on current fashion trends: shirt with pure lor patterns and long pants. The shirt is with tton fabric and it has a round neckline. The pants are with tton fabric and pure lor patterns. The outer clothing the person wears is with tton fabric and solid lor patterns. The lady wears a ring. There is an accessory in his her neck.The upper clothing has long sleeves, tton fabric and solid lor patterns.","Generate a poor outfit description based on current fashion trends: The sweater is with tton fabric. The neckline of the sweater is lapel.The sweater the person wears has long sleeves, its fabric is tton, and it has graphic patterns. The sweater has a lapel neckline.This person wears a long-sleeve sweater with graphic patterns. The sweater is with tton fabric. It has a lapel neckline. The pants this person wears is of long length."
"Generate an outfit description based on current fashion trends: wearing a long pants, with denim fabric and pure lor patterns. This woman has neckwear. There is an accessory on her wrist. The female is wearing a ring on her finger.The tank top the female wears has sleeves cut off, its fabric is tton, and it has stripe patterns. The tank top has a round neckline. There is an accessory on her wrist. This woman wears a ring.","Generate a poor outfit description based on current fashion trends: The shirt is with tton fabric. It has a lapel neckline. The shorts the person wears is of three-point length. The shorts are with denim fabric and pure lor patterns. The lady wears a ring. There is an accessory on her wrist. There is an accessory in his her neck.The shirt this lady wears has short sleeves, its fabric is tton, and it has graphic patterns."
Generate an outfit description based on current fashion trends: tank top with graphic patterns and a long trousers. The tank top is with chiffon fabric and its neckline is v-shape. The trousers are with denim fabric and pure lor patterns. There is a ring on her finger. There is an accessory on her wrist. This person has neckwear.The person wears a sleeveless tank shirt with graphic patterns. The tank shirt is with chiffon fabric.,"Generate a poor outfit description based on current fashion trends: it has a lapel neckline. This person wears a three-point pants, with tton fabric and pure lor patterns. The lady is wearing a ring on her finger.The lady is wearing a tank tank shirt with solid lor patterns. The tank shirt is with tton fabric. It has a round neckline. The pants the lady wears is of three-point length."
"Generate an outfit description based on current fashion trends: short sleeves, tton fabric and graphic patterns. The neckline of it is lapel. The shorts this female wears is of three-point length. The shorts are with denim fabric and solid lor patterns. This person wears a ring. There is an accessory on her wrist. The female has neckwear.The person is wearing a long-sleeve sweater with graphic patterns. The sweater is with tton fabric.",Generate a poor outfit description based on current fashion trends: the sweater is with tton fabric. It has a lapel neckline. The trousers this female wears is of long length. The trousers are with denim fabric and pure lor patterns. There is an accessory on her wrist. The female has neckwear. The lady wears a ring.The person wears a short-sleeve shirt with solid lor patterns. The shirt is with tton fabric. It has a round neckline.
